leadtext1セル1行分として入力,人のあったかさが人気の理由です。,
説明文テキスト1セル1行分として入力,奥州藤原氏の栄華を感じる歴史の街で、楽しい思い出を作ってください。,個性豊かな指導員、旅気分も味わえる名所巡り、あなたに充実の２週間をプレゼントします。
高速教習,実車走行,
AT(半角数字で入れる),14,
MT(半角数字で入れる),16,
郵便番号と住所,029-4102,岩手県西磐井郡平泉町平泉字宿21-3
Fiあり
●レンタサイクル※（いずれも無料）※季節により使用不可
●ミニストップ　徒歩3分
●ジョイフルタウン平泉（スーパー、ドラッグストア他）　徒歩5分
●ファミリーレストランガスト　自転車15分
●本屋　自転車15分
●JR平泉駅　車5分
●JR一ノ関駅　車15分
●トップウェルネス一関　車10分
●毛越寺　車5分
●中尊寺　車10分
●義経堂　車10分
●厳美渓　車20分"
施設紹介画像の文書,
合宿の様子画像の文書,
