ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"レギュラー 
ツイン・シングル",よしの館（男・女）,送迎バス5分,"1・2・
3～6名","共用
（温泉）",〇,〇　,税込100円/1回,税込100円/10分,Wi-Fi,隣接,宿舎,校内,宿舎
〇,レギュラー,湯乃香（男・女）,徒歩8分,2～4名,"共用
（温泉）",〇,ー,無料,ー,ー,徒歩1分,宿舎,校内,宿舎
〇,"ホテルツインA 
ホテルシングルA",ホテルリブマックス湯本 （男・女）,送迎バス5分,1・2名,"シャワーのみ
〇",〇,〇,税込200円/1回,税込100円/10分,Wi-Fi,徒歩4分,よしの館,校内,よしの館
〇,"ホテルツインB 
ホテルシングルB",いわきワシントンホテル （男・女）,送迎バス18分,1・2名,〇,〇,〇,税込400円/1回（注1）,税込100円/10分（注1）,"Wi-Fi
有線LAN",徒歩3分,宿舎,校内,ー
×,"※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む）
（注1）宿泊先近（徒歩4分）のコインランドリーを利用時の料金です。",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
