leadtext1セル1行分として入力,白神山地にいだかれた「能代」へようこそ！,
説明文テキスト1セル1行分として入力,校舎からのぞむ白神山地、日本海の風を受けて回る風車、美しい景色の中で過ごしてみませんか？,学校周辺はコンビニ、ファストフード等が徒歩圏内！
高速教習,実車走行,
AT(半角数字で入れる),15,
MT(半角数字で入れる),17,
郵便番号と住所,016-0173,秋田県能代市字下古川布20-4
