ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"ホテルツインA 
ホテルシングルA ",ホテルミナミ（男・女）,送迎バス5分,1・2名,〇,〇,〇,税込200円/1回,税込100円/30分,Wi-Fi,徒歩7分,宿舎,税込450円/1食支給,宿舎
〇,ホテルシングルA,ホテルニューグリーン （男・女）(注1）,送迎バス7分,1名,〇,〇,〇,無料,無料,Wi-Fi,徒歩5分,宿舎,税込450円/1食支給,宿舎
〇,"ツイン 
シングル ",湯らくの宿のしろ,送迎バス15分,1・2名,"共用
(温泉大浴場有)",〇,〇,ー,ー,ー,車10分,宿舎,税込450円/1食支給,宿舎
〇,"ホテルツインB 
ホテルシングルB",ホテル ルートイン能代 （男・女）,送迎バス3分,1・2名,〇,〇,〇,税込200円/1回,税込100円/30分,Wi-Fi,徒歩5分,宿舎,税込450円/1食支給,宿舎
×,"他にご利用いただく宿舎?あづま旅館（男・女）　 　　　　　　　　　　　  
ホテルサンルーラル大潟 
※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む）
（ 注1）曜日限定特割では利用いただけません。 ",,,,,,,,,,,,,
