料金表ヘッダーテキスト。,"MT車：税込16,200円UP
自動二輪免許所持：税込21,000円引",,,
料金表フッターテキスト。,"※保証のつかない「チャレンジコース（全項目規定分まで保証）」は上記教習料金の税込10,800円引",,,
うれしい特典テキスト。,,,,
宿泊プラン,ホテルツインA,"ツイン・シングル
ホテルシングルA",ホテルツインB,ホテルシングルB
"4/1～7/25
9/11～11/30",242500,245000,251760,254260
7/26～7/31,267500,270000,276760,279260
8/25～9/10,282500,285000,291760,294260
8/1～8/24,302500,305000,311760,314260
