ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,ツインA,N-ヴィレッジ(男・女),徒歩5分,2名,共用,〇,〇,無料,無料,Wi-Fi,徒歩1分,宿舎,校内,宿舎
〇,"トリプル
ツインB",パンション・プチ・カザデラ(女),送迎バス20分,2・3名,共用,〇,共用,無料,無料,Wi-Fi,自転車5分,宿舎,校内,宿舎
〇,レギュラー,ホテル冠月(男・女),送迎バス15分,3～5名,温泉大浴場 トイレ〇,〇,〇,×(注2),×(注2),×(ロビー Wi-Fi),徒歩5分,宿舎,校内,宿舎
〇,ホテルシングル,ルートイン新発田インター(男・女),送迎バス10分,1名,〇 大浴場有,〇,〇,税込200円～/1回,税込100円～/30分,Wi-Fi,徒歩1分,宿舎,校内,宿舎(注1)
〇,自炊ツイン,レオパレス21(男・女),送迎バス5分,2名,〇,〇,〇,無料,×(浴室乾燥機有),Wi-Fi,徒歩3分,ー,校内,ー
×,"※インターネットLAN環境のある場合、PCはご持参ください。
※満室時には他の宿舎をご利用いただく場合がございます。(途中移動を含む)
(注1)ホテルシングルは日曜・祝日は夕食の用意がございません。近隣の飲食店等をご利用ください。(1食税込700円支給)
(注2)ホテル正面のコインランドリー(有料)をご利用ください。",,,,,,,,,,,,,
