ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"レギュラー・ツイン 
シングル ",専用宿舎（男）,敷地内,"1・2名
 3～6名",共用,〇,共用,無料,無料,Wi-Fi,自転車4分,宿舎,宿舎,宿舎
〇,ホテルシングル,ホテルルートイン 相模湖上野原（男・女）,送迎バス 5分,1名,〇,〇,〇,税込200円/1回,税込100円/30分,Wi-Fi,徒歩5分,宿舎,宿舎,ー
×,"※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む） 
※専用宿舎の食事は3食仕出し弁当になります。",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
