ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,宿泊プラン,部屋定員,性別,住所,電話番号,部屋タイプ,寝具,門限,学校から所要時間,管理人,バス,トイレ,テレビ,DVD/ビデオ,冷蔵庫,レンジ,ポット,ドライヤー,ボディソープ,シャンプー,歯磨きセット,ひげそり,バスタオル,フェイスタオル,寝間着,スリッパ,クローゼット,金庫,エアコン,部屋掃除,シーツ交換,洗濯機,乾燥機,洗濯洗剤,ピンチハンガー,洗濯干しスペース,タバコ,飲酒,インターネット,貸し自転車,朝食場所／時間,朝食内容,昼食場所／時間,夕食内容,夕食場所／時間,内容,最寄り駅,銀行ATM,病院,コンビニ,郵便局,海水浴場
〇,レギュラー,湯の浜グランドホテル(男・女),レギュラー,3～6名,男・女,鶴岡市湯野浜1-27-48,0235-76-3600,和室・洋室,ふとん・ベット,22時,スクールバス15分（無料送迎）,常駐,各室（時期により温泉大浴場もあり）（一部共用の部屋あり）,各室（一部共用の部屋あり）,各室,無し,各室,無し,無し,○（大浴場に共用有）,○（大浴場に共用有）,○（大浴場に共用有）,ご持参下さい,ご持参下さい,ご持参下さい,ご持参下さい,ご持参下さい,○,各室,各室,各室,ホテルスタッフ／3日に1回,ホテルスタッフ／3日に1回,200円～／1回,200円～／60分,有料,無し,各室内,指定場所のみ可（室内は禁煙）,ご遠慮ください,Ｗｉ-Ｆｉ,○（冬季除く）,宿舎食堂 ／7：00～9：00,バイキング,自動車学園周辺提携食堂,日替わり定食,宿舎食堂 ／18：30～21：00,日替わり定食,ＪＲ 羽前大山駅 車10分,鶴岡信金   徒歩 10分,林医院   徒歩10分,徒歩  5分,徒歩  10分,徒歩  5分
〇,ツインA,湯の浜グランドホテル(シーバード)(女),レギュラー,2名,男・女,鶴岡市湯野浜1-27-48,0235-76-3600,和室・洋室,ふとん・ベット,22時,スクールバス15分（無料送迎）,常駐,各室（時期により温泉大浴場もあり）（一部共用の部屋あり）,各室（一部共用の部屋あり）,各室,無し,各室,無し,無し,○（大浴場に共用有）,○（大浴場に共用有）,○（大浴場に共用有）,ご持参下さい,ご持参下さい,ご持参下さい,ご持参下さい,ご持参下さい,○,各室,各室,各室,ホテルスタッフ／3日に1回,ホテルスタッフ／3日に1回,200円～／1回,200円～／60分,有料,無し,各室内,指定場所のみ可（室内は禁煙）,ご遠慮ください,Ｗｉ-Ｆｉ,○（冬季除く）,宿舎食堂 ／7：00～9：00,バイキング,自動車学園周辺提携食堂,日替わり定食,宿舎食堂 ／18：30～21：00,日替わり定食,ＪＲ 羽前大山駅 車10分,鶴岡信金   徒歩 10分,林医院   徒歩10分,徒歩  5分,徒歩  10分,徒歩  5分
〇,レギュラー,はまあかり潮音閣(男・女),レギュラー,3～8名,女性（男性）※,鶴岡市湯野浜1-26-4,0235-75-2134,和室,ふとん,22時,スクールバス15分（無料送迎）,常駐,共用（温泉大浴場）,各室,各室,無し,各室,無し,無し,○（大浴場に共用有）,○（大浴場に共用有）,○（大浴場に共用有）,ご持参下さい,ご持参下さい,ご持参下さい,ご持参下さい,ご持参下さい,○,各室,各室,各室,宿舎スタッフ／毎日,宿舎スタッフ／3日に1回,200円／1回,100円～／30分,ご持参下さい,無し,各室内,成人のみ可,ご遠慮ください,Ｗｉ-Ｆｉ,無し,宿舎／7：00～8：30,日替わり定食,自動車学園周辺提携食堂,日替わり定食,宿舎／18：30～19：30,日替わり定食,ＪＲ 羽前大山駅 車10分,鶴岡信金   徒歩 10分,林医院   徒歩10分,徒歩 7分,徒歩 10分,徒歩  3分
〇,"トリプル
ツインB
シングルB
グループユース",龍の湯(男・女),グループユース,1～5名,男性・女性,鶴岡市湯野浜2-4-47,0235-75-2241,和室・洋室・和洋室（お選びいただけません）,布団（一部ベッドあり）,23:00,スクールバス１５分（無料送迎）,常駐,各室（温泉大浴場もございます）,各室,各室,無し,各室,無し,各室,各室,○,○,ご持参下さい,ご持参下さい,○（交換は随時）,○（交換は随時）,○,○,各室,各室,○,スタッフ（随時）,スタッフ（随時）,○（1回 200円～ ）,○（200円～/60分）,無し,無し,無し,禁煙ルームあり,ご遠慮ください,Ｗｉ-Ｆｉ,無し,宿舎（7：00～9：30）,バイキング,自動車学園周辺提携食堂,日替わり定食,宿舎（17：30～20：30）,日替わり定食,JR鶴岡駅30分,徒歩5分,車10分,徒歩10分,徒歩5分,
〇,"ホテルツイン
ホテルシングル",ホテルイン静岡(男・女),ホテルツイン・シングル,1・2名,男・女,鶴岡市美咲町33-27,0235-29-5000,洋室,ベッド,無し,スクールバス5分（無料送迎）,スタッフ常駐,各室（大浴場もあり）,各室,各室,なし,各室,共用（フロント）,○,○,○,○,○,○,○,○,○,○,なし,なし（貴重品はフロントで預かり）,○,スタッフ 毎日,スタッフ随時（3日毎）,無料,有料（100円/30分）,フロントにて販売あり（1つ30円）,なし,各室内,禁煙室あり,ご遠慮ください,Wi-Fi,2台あり,宿舎  6：30～9：00,バイキング,自動車学園周辺提携食堂,日替わり定食,宿舎 18：00～22：30,日替わり定食,鶴岡駅　車8分,徒歩1分（パルショッピングセンター内）,徒歩5分,徒歩8分,徒歩8分,
〇,"自炊ツイン
自炊トリプル",レオパレス21(男・女),自炊プラン,１・２・３名,男性  女性,鶴岡市大塚町,教習所（0235-22-6200）,洋室,ベッド,21：00,徒歩１０分,―,各室,各室,各室,無し,各室,室内 または ベランダ,,○,,,,,,,,,,,○,,,○,○,,,,可（成人のみ）,ご遠慮ください,Ｗｉ-Ｆｉ,無し,,,自動車学園周辺提携食堂,日替わり定食,,,JR鶴岡駅 車１０分,荘内銀行   徒歩10分,庄南クリニック  徒歩10分,徒歩１０分,徒歩１５分,
×,"※上記以外にも〔レギュラー〕浜泉壮(男・女)・扇屋旅館(男)、〔ホテルツイン・ホテルシングル〕ルートイン鶴岡インターをご利用いただきます。
※インターネットLAN環境のある場合、PCはご持参ください。
※満室時には他の宿舎をご利用いただく場合がございます。(途中移動を含む)
※休日は昼食の用意がございません。近隣の飲食店などをご利用ください。(税込500円/食支給)
(注1)女性は3～6名
(注2)湯の浜グランドホテルの大浴場は7月下旬～9月下旬のご利用いただけます。
※湯の浜グランドホテルのレギュラーは7月下旬～9月下旬のみのご利用となります。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
