ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"レギュラー・トリプル 
ツイン・シングル",専用宿舎 シュプレーム（男）,送迎バス 18分,1・2・3～5名,共用,○,○,無料,税込100円/30分,Wi-Fi,徒歩4分,税込500円/1食支給(注1),校内,校内
〇,"マンション 
（トリプル・ツイン・シングル）",マンション アプレンデール（男・女）(注2）,送迎バス 10分,1・2・3名,○,○,○,無料,ー,"Wi-Fi
有線LAN",徒歩5分,近隣のホテル,校内,校内
〇,"ホテルシングル 
ホテルツイン",カーサホテル新白河 （男・女）,送迎バス 10分,1・2名,○,○,○,税込200円/1回,税込100円/30分,Wi-Fi,徒歩5分,宿舎,校内,校内
〇,"ホテルシングル 
ホテルツイン",東横イン新白河駅前(男・女),送迎バス 10分,1・2名,○,○,○,税込200円/1回,税込100円/30分,"Wi-Fi
有線LAN",徒歩5分,宿舎,校内,校内
×,"※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む） 
（注1）朝食代500円（税込）×泊数分を支給いたします。近隣のコンビニ等をご利用ください。 （注2）マンショントリプルは女性のみ受付となります。",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
