料金表ヘッダーテキスト。,"MT車：税込16,200円UP
自動二輪免許所持：税込21,600円引",,,
料金表フッターテキスト。,,,,
うれしい特典テキスト。,"宇都宮餃子館にてお食事ご招待（28種類の食材とスパイスをブレンドした究極の餃子です。）（普通車のみ）
乃木温泉入浴券プレゼント（教習後は温泉でリフレッシュ!教習所から無料送迎）（毎週月・水・金・土曜）",,,
宿泊プラン,レギュラー,ツインA,ツインB,シングル
"4/1～7/18
9/14～11/30",220000,227500,230000,235000
7/19～7/25,240000,250000,255000,260000
9/1～9/13,250000,260000,265000,270000
"7/26～8/7
8/16～8/31",267000,277000,282000,287000
8/8～8/15,288000,298000,303000,308000
