ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,レギュラー,スカイハイツⅢ(男),敷地内,4名,〇(大浴場有),〇,〇,税込200円/1回,税込100円/10分,Wi-Fi,自転車10分,校内,校内,校内
〇,レギュラー,スカイハイツⅢ(女),敷地内,6名,〇(大浴場有),〇,〇,税込200円/1回,税込100円/10分,Wi-Fi,自転車10分,校内,校内,校内
〇,ツインA・シングル,アネックス(女),敷地内,1・2名,〇(大浴場有),〇,〇,税込200円/1回,税込100円/10分,Wi-Fi,自転車10分,校内,校内,校内
〇,シングル,専用宿舎 那須ホテル（男）,敷地内,1名,〇(大浴場有),〇,〇,税込200円/1回,税込100円/10分,Wi-Fi,自転車10分,校内,校内,校内
〇,ツインA・シングル ,乃木ヒルズ（男・女),送迎バス10分,1・2名,〇,〇,〇,税込200円/1回,税込100円/10分,"Wi-Fi(注1)
有線LAN",徒歩10分,校内,校内,校内
〇,ツインB ,スカイハイツ（男・女） ,送迎バス10分,2名,〇,〇,〇,税込200円/1回,税込100円/10分,"Wi-Fi(注1)
有線LAN",徒歩10分,校内,校内,校内
×," ※女性レギュラーの［スカイハイツⅢ］はカプセルタイプです。 
※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む）
（注1）Wi-Fi専用アダプター貸出します。
",,,,,,,,,,,,,
,,,,,,,,,,,,,,
