マンション名,ファイル名,宿泊プラン,学校から,部屋人数,バス/トイレ,テレビ,冷蔵庫,洗濯機,乾燥室,ネット環境,コンビニまで,食事場所
専用宿舎（女）,hotel01,レギュラー<br/>ツイン<br/>シングル,敷地内,1・2・3名,共用,○,共用,無料,200円(税込)～/60分,Wi-Fi（PC4台有）,自転車15分,朝食:校内、昼食:校内、夕食:校内
専用宿舎（男）,hotel02,ツイン<br/>シングル,敷地内,1・2名,共用,○,共用,無料,200円(税込)～/60分,Wi-Fi,自転車15分,朝食:校内、昼食:校内、夕食:校内
