ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,レギュラーB,赤湯温泉　旅館大文字屋（男・女）,送迎バス10分,3～8名,共同,○,○,無料,無料,無線ＬＡＮ接続,徒歩 2分,宿舎内食堂,校内食堂,宿舎内食
〇,レギュラーB,赤湯温泉　旅館大和屋（男）,送迎バス10分,3～6名,共用,○,○,無料,無料,-,徒歩　3分,宿舎内食堂,校内食堂,宿舎内食堂
〇,レギュラーＢ,上山温泉 ?旅館 三恵（ミツエ）（男）,送迎バス25分,3～10名,共用,○,○,無料,無料,-,徒歩6分,宿舎内食堂,校内食堂,宿舎内食堂
〇,レギュラーA,赤湯温泉　旅館清茂登（男）,送迎バス10分,3～6名,共用,○,○,無料,無料,無線LAN接続有り,徒歩　2分,宿舎内食堂,校内食堂,宿舎内食堂
〇,ツインＢ?シングル,パインツリーAkayu（男・女）,送迎バス5分,1・2名,各室,○,○,無料,無料,無線LAN,徒歩 5分,宿舎内食堂/6：30～8：00,校内食堂/11：30～14：00,宿舎内食堂/18：00～21：3
〇,ツインＡ,A-ビレッジ（男・女）,教習所内,2名,共同,○,○,無料,無料,無線LAN接続有り,徒歩 5分,宿舎内食堂/6：30～8：00,校内食堂/11：30～14：00,宿舎内食堂/18：00～21：30
〇,自炊ツイン?自炊トリプル,アルカディア（女）,送迎バス5分,2～4名,各室,○,○,無料,無料,無線ＬＡＮ接続,"徒歩 15分
（スーパー徒歩3分）",─,校内食堂,─
×,"※満室時には他の宿舎をご利用いただく場合があります。（途中移動を含みます）
※規定宿泊数を超えた場合、宿舎を移動していただくことがあります。
※記載の内容は予告なく変更される場合があります。",,,,,,,,,,,,,
