ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,レギュラー（カプセルタイプ),専用宿舎（男）,敷地内,10～20名,共用,"〇
(1人１台)",,税込200円/1回,税込100円/10分,Wi-Fi(注1),徒歩5分,校内,校内,校内
〇,シングルA（カプセルタイプ）,専用宿舎（男）,敷地内,1名,共用,"〇
(1人１台)",,税込200円/1回,税込100円/10分,Wi-Fi(注1),徒歩5分,校内,校内,校内
〇,シングルB,専用宿舎（男）,敷地内,1名,〇,〇,,税込200円/1回,税込100円/10分,"Wi-Fi
有線LAN",徒歩5分,校内,校内,校内
〇,レギュラー,スカイハイツ（女）,送迎バス 25分,3名,〇,〇,,税込200円/1回,税込100円/10分,"Wi-Fi
有線LAN",徒歩10分,校内,校内,校内
〇,ツインB,スカイハイツ（男・女 ）,送迎バス 25分,2名 ,〇,〇,,税込200円/1回,税込100円/10分,"Wi-Fi
有線LAN",徒歩10分,校内,校内,校内
〇,ツインA,乃木ヒルズ（ 男・女 ）,送迎バス 25分,2名 ,〇,〇,,税込200円/1回,税込100円/10分,"Wi-Fi
有線LAN",徒歩10分,校内,校内,校内
〇,シングルC,乃木ヒルズ（女）,送迎バス 25分,1名,〇,〇,,税込200円/1回,税込100円/10分,"Wi-Fi
有線LAN",徒歩10分,校内,校内,校内
×,"●満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む）   
（注1）場所によりつながりにくい場合があります。 ",,,,,,,,,,,,,
