,,,,,,,,,,,,,,,,,,,,,,,,,,,,開始日,2018/4/1,2018/7/19,2018/9/1,2018/7/26,2018/8/8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了日,2018/7/18,2018/7/25,2018/9/13,2018/8/15,2018/8/15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,開始日,2018/9/14,,,2018/8/16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了日,2018/11/30,,,2018/8/31,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,開始日,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了日,,,,,,
,,AT卒業日,MT卒業日,限定割,夏特,春得,ゴールド,プラチナ,年末一時帰宅,特割,特割I・II,特割II,学生特割／特割,学生特割,シングル特割,曜日限定シングル特割,自炊シングル特割・シングル特割,曜日限定特割,シングルオフ特,限定割／特割,一時帰宅（一時帰宅交通費支給）,一時帰宅（一時帰宅交通費自己負担）,二輪同時特割,オフ特,,,,,水色,オレンジ,緑,ピンク,紫,黄色
2018/5/29,火,,2018/6/21,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/5/30,水,2018/6/21,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/5/31,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/1,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/2,土,,2018/6/25,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/3,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/4,月,2018/6/26,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/5,火,,2018/6/28,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/6,水,2018/6/28,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/7,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/8,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/9,土,,2018/7/2,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/10,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/11,月,2018/7/3,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/12,火,,2018/7/5,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/13,水,2018/7/5,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/14,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/15,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/16,土,,2018/7/9,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/17,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/18,月,2018/7/10,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/19,火,,2018/7/12,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/20,水,2018/7/12,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/21,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/22,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/23,土,,2018/7/16,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/24,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/25,月,2018/7/17,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/26,火,,2018/7/19,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/27,水,2018/7/19,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/6/28,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/29,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/6/30,土,,2018/7/23,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/1,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/2,月,2018/7/24,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/3,火,,2018/7/26,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/4,水,2018/7/26,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/5,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/6,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/7,土,,2018/7/30,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/8,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/9,月,2018/7/31,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/10,火,,2018/8/2,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/11,水,2018/8/2,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/12,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/13,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/14,土,,2018/8/6,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/15,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/16,月,2018/8/7,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/17,火,,2018/8/9,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/18,水,2018/8/9,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/7/19,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/20,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/21,土,,2018/8/13,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,
2018/7/22,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/23,月,2018/8/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,
2018/7/24,火,,2018/8/16,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,
2018/7/25,水,2018/8/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,
2018/7/26,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/27,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/28,土,,2018/8/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/7/29,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/7/30,月,2018/8/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/7/31,火,,2018/8/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/1,水,2018/8/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/2,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/3,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/4,土,,2018/8/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/5,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/6,月,2018/8/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
