ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,宿泊プラン,部屋定員,性別,住所,電話番号,部屋タイプ,寝具,門限,学校から所要時間,管理人,バス,トイレ,テレビ,DVD/ビデオ,冷蔵庫,レンジ,ポット,ドライヤー,ボディソープ,シャンプー,歯磨きセット,ひげそり,バスタオル,フェイスタオル,寝間着,スリッパ,クローゼット,金庫,エアコン,部屋掃除,シーツ交換,洗濯機,乾燥機,洗濯洗剤,ハンガー,洗濯干しスペース,タバコ,飲酒,インターネット,貸し自転車,朝食場所／時間,朝食内容,昼食場所／時間,昼食内容,夕食場所／時間,夕食内容,最寄り駅,銀行ATM,病院,コンビニ,郵便局
〇,ホテルシングルA,レクストン鹿児島アネックス(男・女),ホテルシングルA,1名,女性・男性,〒892-0844　鹿児島県鹿児島市山之口町4-20,099-223-3933,,,,マジオ定期バス/約20分　徒歩/約2分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,学校/13：20～14：10　※注文は当日11：30まで,ほっかほっか亭(500円まで支給),高見馬場食堂/24時間営業,定食・食堂(800円まで支給),市電　高見馬場電停/徒歩2分　　　　バス停　高見馬場/徒歩2分　　マジオ定期路線/徒歩2分,西日本シティ銀行/徒歩2分　　肥後銀行/徒歩3分　　みずほ銀行/徒歩10分　三菱ＵＦＪ信託銀行/徒歩7分　鹿児島銀行/徒歩2分,小田原病院/徒歩2分　高岡病院/徒歩6分　相良病院/徒歩10分※マジオ定期路線あり,ファミリーマート/徒歩2分　セブンイレブン/徒歩3分,鹿児島加治屋町郵便局/徒歩5分　　鹿児島東千石郵便局/徒歩8分
〇,ホテルシングルB,ビジネスホテルメイト(男・女),ホテルシングルB,1名,女性・男性,〒892-0826　鹿児島県鹿児島市呉服町5-17,099-226-6100,,,,マジオ定期バス/約20分　徒歩/約2分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,学校/13：20～14：10　※注文は当日11：30まで,ほっかほっか亭(500円まで支給),高見馬場食堂/24時間営業,定食・食堂(800円まで支給),市電　いずろ通り/徒歩2分　　　　バス停　いずろ/徒歩2分　　マジオ定期路線/徒歩2分,西日本シティ銀行/徒歩9分　　肥後銀行/徒歩10分　　みずほ銀行/徒歩4分　三菱ＵＦＪ信託銀行/徒歩3分　鹿児島銀行/徒歩4分,小田原病院/徒歩7分　高岡病院/徒歩14分　相良病院/徒歩7分※マジオ定期路線あり,ファミリーマート/徒歩2分　セブンイレブン/徒歩2分,鹿児島東千石郵便局/徒歩9分
〇,ホテルシングルC,アクアガーデンホテル福丸(男・女),ホテルシングルC,1名,女性・男性,〒892-0821　　鹿児島県鹿児島市名山町11-8,099-226-3211,洋室　又は　和室,ベット　又は　布団,ＡＭ2：00,マジオ定期バス/約15分　徒歩/約1分　約5分,常駐,客室・大浴場,客室,〇,×,〇,×,〇,〇,〇,,〇,〇,〇,〇,〇,〇,〇,フロント預かり,〇,スタッフ（毎日）,スタッフ（毎日）,有料　１台,有料　２台,備え付け,〇,×,喫煙スペースあり,〇,有線ＬＡＮ（wi-fiルーター貸出　台数限定）,〇,レストラン/7：00～,バイキング,学校/13：20～14：10　※注文は当日11：30まで,ほっかほっか亭(500円まで支給),レストラン/17：00～　※費用は自費,,市電　市役所前/徒歩5分　　　　バス停　市役所前/徒歩5分　　マジオ定期路線/徒歩1分,西日本シティ銀行/徒歩19分　　肥後銀行/徒歩16分　　みずほ銀行/徒歩7分　三菱ＵＦＪ信託銀行/徒歩11分　鹿児島銀行/徒歩9分,中央病院/徒歩5分　高岡病院/徒歩17分　相良病院/徒歩18分※マジオ定期路線あり,ファミリーマート/徒歩3分　セブンイレブン/徒歩5分,鹿児島東郵便局/徒歩7分
〇,ホテルシングルE,セントイン鹿児島(男・女),ホテルシングルF,1名,女性・男性,〒892-0841　　鹿児島県鹿児島市照国町12-18,099-222-6866,洋室,ベット,なし,マジオ定期バス天文館線/約20分　徒歩/約10分　　　　マジオ定期バス鹿児島大学線/約10分　徒歩/約10分　,常駐,〇,〇,〇,×,〇,フロントに有,〇,〇,〇,,フロントに有,フロントに有,〇,〇,〇,〇,お部屋により異なります,×,〇,スタッフ(毎日),スタッフ(毎日),〇(1回200)１Ｆランドリー,〇(1回200)１Ｆランドリー,フロントにて販売(1個50円),○,×,喫煙部屋のみ(屋外喫煙所有　1Ｆ),○,フロントにてルーター貸出（※ルーター利用でWIFI接続が可能　数に限りがあります!!）,×,ご自身様でご用意下さい,,学校/13：20～14：10　※注文は当日11：30まで,ほっかほっか亭(500円まで支給),ご自身様でご用意下さい,,市電　高見馬場電停/徒歩9分　　　　バス停　山下小学校前/徒歩5分　　マジオ定期路線/徒歩10分,西日本シティ銀行/徒歩10分　　肥後銀行/徒歩6分　　みずほ銀行/徒歩10分　三菱ＵＦＪ信託銀行/徒歩8分　鹿児島銀行/徒歩8分,小田原病院/徒歩8分　高岡病院/徒歩4分　相良病院/徒歩14分※マジオ定期路線あり,ローソン/徒歩2分　セブンイレブン/徒歩２分,鹿児島東郵便局/徒歩7分
×,"※インターネットLAN環境のある場合、PCはご持参ください。
※満室時には他の宿舎をご利用いただく場合がございます。(途中移動を含む)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
