ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,レギュラー・グループユースＡ,飯豊旅館がまの湯（男）,送迎バス18分,4～7名,共用,○,○,100円/1回,100円/1回,1階フロアのみ無線LAN接続有り,徒歩 6分,宿舎食堂,校内食堂,宿舎食堂
〇,レギュラー・グループユースＢ,パインツリーフレール（男・女）,送迎バス10分,3～4名,各室,○,○,有料（100円/1回）,有料（100円/60分）,"無線ＬＡＮ・有線ＬＡＮ
（各室ＬＡＮ端子有）",徒歩1分,宿舎,校内食堂,宿舎
〇,ツインＡ・シングル・グループユースＣ,グリーンヒルズＦ棟（女）,送迎バス40分,1～4名,共用,○,○,無料,無料,Wi-Fi,徒歩4分,宿舎食堂,校内食堂,宿舎食堂
〇,ツインＡ,グリーンヒルズＭ棟（男）,送迎バス10分,2名,共用,○,○,無料,無料,"無線ＬＡＮ・有線ＬＡＮ
（各室ＬＡＮ端子有）",徒歩1分,宿舎食堂,校内食堂,宿舎食堂
〇,ツインＢ・トリプル,パインツリーＴＯＭＯＥ（男・女）,送迎バス20分,2～3名,各室,○,○,有料（100円/1回）,有料（100円/60分）,無線ＬＡＮ・有線ＬＡＮ,徒歩0分,宿舎食堂,校内食堂,宿舎食堂
〇,シングル,ウィークリー的場（男・女）,送迎バス15分,1名,各室,○,○,有料（100円/1回）,有料（100円/30分）,無線ＬＡＮ接続,徒歩2分,宿舎食堂,校内食堂,宿舎食堂
〇,ホテルシングル　 ホテルツイン,タス・パークホテル（男・女）,送迎バス15分,1名・2名,各室,○,○,有料（200円/1回）,有料（100円/40分）,無線ＬＡＮ接続有り,徒歩6分,ホテルレストラン,校内食堂,ホテルレストラン
〇,自炊ツイン　 自炊トリプル　 （昼食のみセット）　 ※4名　1室も可,パインツリーフレール（女）（注1）,徒歩2分,2～4名,各室,○,○,有料（100円/1回）,有料（100円/60分）,"無線ＬＡＮ・有線ＬＡＮ
（各室ＬＡＮ端子有）",徒歩1分,―,校内食堂,―
×,"※満室時には他の宿舎をご利用いただく場合があります。（途中移動を含みます）
※規定宿泊数を超えた場合、宿舎を移動していただくことがあります。
※記載の内容は予告なく変更される場合があります。",,,,,,,,,,,,,
