ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"レギュラー
グループユース",ルシオーレ小野川 （男・女）,送迎バス 20分,4～6名,"共用(温泉大浴場有)
〇",〇,〇,無料,無料,Wi-Fi,車10分(注1),宿舎,校内,宿舎
〇,ツインA,M-ビレッジ （男・女),送迎バス 10分,2名,〇,〇,〇,無料,"税込100円/1回
(浴室乾燥有)",Wi-Fi,徒歩3分,宿舎,校内,宿舎
〇,"ツインA 
トリプル ","
プレジデンシャル花澤（男・女) ",送迎バス5分,2・3名,〇,〇,〇,無料,"税込100円/1回
(浴室乾燥有)",Wi-Fi,徒歩5分,宿舎,校内,宿舎
〇,ホテルシングルA,ホテル平成（男・女）,送迎バス15分,1名,〇(大浴場有),〇,共用,税込100円/1回,税込100円/60分,Wi-Fi,徒歩5分,宿舎,校内,近隣
〇,"ホテルツイン 
ホテルシングルB",ホテル東横イン米沢駅前 （男・女）,送迎バス10分,1・2名,〇,〇,〇,税込200円/1回,税込100円/30分,Wi-Fi,徒歩8分,宿舎,校内,近隣
×,"他にご利用いただく宿舎?  トリプル・ツインB 小野川温泉うめや旅館＊（男・女） 
ホテルツイン・ホテルシングルB　ホテルセレクトイン米沢(男・女)
※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む）
 （注1）送迎途中で立ち寄ることもできます。 ＊うめや旅館は8/1～9/30ご入校でご利用いただけます。",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
