ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"レギュラー 
シングル",新豊徳寮（男）,敷地内,1・2～4名,共用,〇,ー,無料,無料,ー,徒歩5分,校内,校内,校内
〇,"レギュラー 
シングル",豊徳寮（男）,敷地内,1・2～7名,共用,〇,ー,無料,無料,ー,徒歩5分,校内,校内,校内
〇,"レギュラー 
シングル",レオパレス21葉（女）,徒歩8分,(※1)1・2～3名,〇,〇,〇,無料,"ー
(浴室乾燥有)",Wi-Fi,徒歩8分,校内,校内,校内
〇,ホテルシングル,ホテル花湯の森 （男・女）,自転車10分,1名,〇,〇,〇,税込200円/1回,税込100円/30分,Wi-Fi,徒歩2分,宿舎,校内,校内
〇,ホテルシングル,埼玉グランドホテル 深谷（男・女）,送迎バス12分,1名,〇,〇,〇,ー,ー,Wi-Fi,徒歩5分,宿舎,校内,宿舎
×,※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む） （※1）グループの場合4名までご利用いただけます。（5名の場合はお問い合わせください）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
