ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"レギュラー 
ツイン",専用宿舎星水館 （男・女）,敷地内,2・3～5名,共用,〇,〇,無料,"無料
乾燥室完備","Wi-Fi
有線LAN",車10分,宿舎,宿舎,宿舎
〇,ホテルツイン,ニューグランドホテル 新庄（男・女）,送迎バス15分,2名,〇,〇,〇,税込200円/1回,税込100円/30分,Wi-Fi,徒歩5分,宿舎,星水館,星水館
〇,ホテルシングル,ホテルルートイン 新庄駅前（男・女）,送迎バス15分,1名,〇,〇,〇,税込200円/1回,税込100円/30分,"Wi-Fi
有線LAN",徒歩3分,宿舎,星水館,星水館
×,"※満室時には他の宿舎をご利用いただく場合がございます。
（途中移動を含む）",,,,,,,,,,,,,
