ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"ホテルツインA
ホテルシングルA",ホテルガーデンかわむら（男・女）,送迎バス 15分 ,1・2名,〇,〇,〇,税込100円/回,税込200円/1回,Wi-Fi,徒歩7分,宿舎,校内,宿舎
〇,ホテルシングルA,小阪ゴールドパレス（男・女）,送迎バス20分,1名,〇,〇,〇,無料,無料,Wi-Fi,徒歩10分,宿舎,校内,宿舎
〇,"ツイン
シングル ",ホテル鹿野（かづの）　（男・女）,送迎バス 15分,1・2名,"共用
(温泉大浴場有)",〇,〇,無料,-,Wi-Fi,徒歩7分,宿舎,校内,宿舎
×,"他にご利用いただく宿舎?あづま旅館（男・女）
 ホテルサンルーラル大潟
 ※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む）
（ 注1）曜日限定特割では利用いただけません",,,,,,,,,,,,,
