ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,宿泊プラン,部屋定員,性別,住所,電話番号,部屋タイプ,寝具,門限,学校から所要時間,管理人（ホテルスタッフ）,バス,トイレ,テレビ,DVD/ビデオ,冷蔵庫,レンジ,ポット,ドライヤー,ボディーソープ,シャンプー,バスタオル,フェイスタオル,歯磨きセット,ヒゲソリ,寝間着,スリッパ,クローゼット,金庫,エアコン,部屋掃除,シーツ交換,洗濯機,乾燥機,洗濯洗剤,ピンチハンガー,洗濯干しスペース,タバコ,飲酒,インターネット,貸し自転車,場所／時間,内容,場所／時間,内容,場所／時間,内容,最寄り駅,銀行ATM,病院,コンビニ,郵便局
〇,"ホテルツインA
ホテルシングルA",ホテルセレクトイン三島(男・女),ホテルツインA・ホテルシングルA,1・2名,男・女,三島市中央町4-6,055-981-1111,洋室,ベッド,22時,スクールバス15分（無料送迎）,常駐,各室,各室,各室,なし,各室,共用,○（フロントで貸出）,○,○,○,○,○,ご持参下さい,なし,○,○,各室にハンガーあり,○,○,ホテルスタッフ（3日に1回）,ホテルスタッフ（3日に1回）,○（200円/1回）,○（100円/30分）,ご持参ください,なし,各室,禁煙室・喫煙室（成人のみ）有,お控えください,有線ＬＡＮ・Wi-Fi,なし,ホテルレストラン,バイキング,学校/昼休み,日替わり弁当,ホテルレストラン,日替わり定食,JR三島駅 徒歩12分,徒歩  3分,徒歩 10分,徒歩  5分,徒歩 2分
〇,"ホテルツインB
ホテルシングルB",ホテルα-1三島(男・女),ホテルツインB・ホテルシングルB,1・2名,男・女,三島市一番町12-6,055-973-6600,洋室,ベッド,22時,スクールバス15分（無料送迎）,常駐,各室,各室,各室,貸出有,各室,共用有,各室,各室,○,○,○,○,○,○,○,○,各室にハンガー有,なし,○,ホテルスタッフ（4日に1回）,ホテルスタッフ（4日に1回）,有料（200円/1回）,有料（300円/70分）,有料,なし,室内,禁煙室・喫煙室（成人のみ）有,お控えください,LAN無料（全室ＰＣあり）,○無料,ホテルレストラン/6：30～10：00,バイキング,学校内/昼休み,日替わり弁当,ホテルレストラン/17：00～23：30,日替わり定食,JR三島駅　徒歩2分,徒歩2分（スルガ銀行）,車5分（総合病院）,徒歩1分,徒歩2分
〇,"ホテルツインB
ホテルシングルB",ホテルルートイン長泉沼津インター第1(男・女),ホテルツインＢ・ホテルシングルＢ,1・2名,男・女,駿東郡長泉町下長窪1157-1,055-999-1131,洋室,ベッド,22時,スクールバス15分（無料送迎）,常駐,各室,各室,各室,なし,各室,共用有,各室,各室,○,○,○,○,ご持参下さい,○,○,○,各室にハンガー有,なし,○,ホテルスタッフ（4日に1回）,ホテルスタッフ（4日に1回）,有料（200円/1回）,有料（100円/30分）,有料,なし,室内,禁煙室・喫煙室（成人のみ）有,お控えください,有線ＬＡＮ・Wi-Fi,なし,ホテルレストラン/6：45～9：00,バイキング,学校内/昼休み,日替わり弁当,ホテルレストラン/18：00～21：30,日替わり定食,JR長泉なめり駅  徒歩12分,徒歩2分（スルガ銀行）,車10分（総合病院）,徒歩5分,車5分
〇,"ホテルツインB
ホテルシングルB",ホテルルートイン長泉沼津インター第2(男・女)(注1),ホテルシングルB（※1）,1名,男・女,駿東郡長泉町南一色34-5,055-999-1141,洋室,ベッド,22時,スクールバス15分（無料送迎）,常駐,各室（大浴場も有）,各室,各室,なし,各室,共用有,各室,各室,○,○,○,○,ご持参下さい,ご持参下さい,○,○,各室にハンガー有,なし,○,ホテルスタッフ（4日に1回）,ホテルスタッフ（4日に1回）,有料（200円/1回）,有料（100円/30分）,有料,なし,室内,禁煙室・喫煙室（成人のみ）有,お控えください,有線ＬＡＮ・Wi-Fi,なし,ホテルレストラン/6：45～9：00,バイキング,学校内/昼休み,日替わり弁当,ホテルレストラン/18：00～21：30,日替わり定食,JR長泉なめり駅   徒歩12分,徒歩5分（スルガ銀行）,車10分（総合病院）,徒歩2分,車4分
×,"※インターネットLAN環境のある場合、PCはご持参ください。(ホテルα-1三島は除く)
※満室時には他の宿舎をご利用いただく場合がございます。(途中移動を含む)
(注1)他のホテルが満室時にのみご利用いただきます。
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
