ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,レギュラー,飯坂温泉　松島屋旅館（男・女）,送迎バス5分,3～5名,共用,〇,〇,無料,-,-,徒歩3分,宿舎食堂,教習所,宿舎食堂
〇,レギュラー,飯坂温泉　つたや旅館（男・女）,送迎バス5分,3～5名,共用,〇,〇,1回200円,-,-,徒歩1分,宿舎食堂,教習所,宿舎食堂
〇,レギュラー,飯坂温泉 ?ホテル天竜閣（男・女）,送迎バス7分,3～5名,共用,〇,〇,無料,-,-,徒歩10分,宿舎食堂,教習所,宿舎食堂
〇,シングル,サンライズパンション（男・女）,送迎バス20分,1名,共用,〇,〇,150円/回,100円/回,-,徒歩3分,宿舎食堂,教習所,宿舎食堂
〇,ホテルツインA　?ホテルシングルA,福島リッチホテル（男・女）,送迎バス20分,1・2名,各室,〇,〇,無料ランドリー代行サービス,無料ランドリー代行サービス,Wi-fi,徒歩4分,ホテル食堂,教習所,ホテル食堂
〇,ホテルツインB　?ホテルシングルB,ザ?セレクトン福島（男・女）,送迎バス20分,1・2名,各室,〇,〇,無料,-,Wi-fi,徒歩3分,ホテル食堂,教習所,ホテル食堂
×,"※満室時には他の宿舎をご利用いただく場合があります。（途中移動を含みます）
※規定宿泊数を超えた場合、宿舎を移動していただくことがあります。
※記載の内容は予告なく変更される場合があります。",,,,,,,,,,,,,
