ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,宿泊プラン,部屋定員,性別,住所,電話番号,部屋タイプ,寝具,門限,学校から所要時間,管理人,バス,トイレ,テレビ,DVD/ビデオ,冷蔵庫,レンジ,ポット,ドライヤー,ボディソープ,シャンプー,歯磨きセット,ひげそり,バスタオル,フェイスタオル,寝間着,スリッパ,クローゼット,金庫,エアコン,部屋掃除,シーツ交換,洗濯機,乾燥機,洗濯洗剤,ピンチハンガー,洗濯干しスペース,タバコ,飲酒,インターネット,貸し自転車,場所／時間,内容,場所／時間,内容,場所／時間,内容,最寄り駅,銀行ATM,病院,コンビニ,郵便局
〇,"レギュラー
ツイン
シングル
",ファーストドム(男・女),レギュラー・ツイン・シングル,1・2・3名,男性・女性,新潟市中央区浜浦町1-248-6,025-265-0150,洋室,ベッド,22:00,徒歩約４分,常駐,"共用18：00～23：30
ｼｬﾜｰﾙｰﾑは5：00～23：30ご利用可",共用,各室（1人1台）,各室（ロビーに貸出ソフト有り）,各室,共用（1階）,共用（1階）,各室（1人1台）,○,○（リンスインシャンプー）,ご持参ください,ご持参ください,ご持参ください,ご持参ください,ご持参ください,有り,有り,各室（個人用セーフティボックス）,各室,スタッフ／希望時,各自／希望時,有料（200円/回）,有料（100円/60分）,○,"無し（ハンガーはひとり8本有）
タオル掛け有り",各室内・各室バルコニー,室内禁煙・指定場所のみ可,お控えください,Wi-Fi,学校にて貸出,教習所内／（8：20～9：40）,日替り定食（食べ放題）,教習所内／11：50  ～ 14：30,日替り定食（食べ放題）,"教習所内／（17：50～20：20）
閑散期（17：20～19：30）",日替り定食（食べ放題）,JR関屋駅  徒歩10分,徒歩 6分（コンビニ内）,徒歩 4分（阿部・島本小児科内科）,徒歩 6分  サークルＫ,徒歩 4分
〇,"レギュラー
ツイン
シングル
",レディースドム(女),レギュラー・ツイン・シングル,1・2・3名,女性,新潟市中央区浜浦町1-248-5,ファーストドムにて取次,洋室,ベッド,22:00,徒歩約４分,"ファーストドム常駐者対応
セコム、監視カメラ有り",共用18：00～23：30,共用,各室,各室,共用,共用,共用,共用,○,○（リンスインシャンプー）,ご持参ください,ご持参ください,ご持参ください,ご持参ください,ご持参ください,マイスリッパプレゼント,有り,各室（個人用セーフティボックス）,各室,スタッフ／希望時,各自／希望時,有料（200円/回）,有料（100円/60分）,○,無し（ハンガーはひとり8本有）,各室内・各室バルコニー,指定場所（キッチン）のみ可,お控えください,Wi-Fi,学校にて貸出,教習所内／（8：20～9：40）,日替り定食（食べ放題）,教習所内／11：50  ～ 14：30,日替り定食（食べ放題）,"教習所内／（17：50～20：20）
閑散期（17：20～19：30）",日替り定食（食べ放題）,JR関屋駅  徒歩10分,徒歩 6分（コンビニ内）,徒歩 4分（阿部・島本小児科内科）,徒歩 6分  サークルＫ,徒歩 4分
〇,ホテルツイン,ホテルオークラ新潟(女),ホテルツイン,2名,女性,新潟市中央区川端町6-53,025-224-6111,洋室,ベッド,22:00,スクールバス  15分（無料送迎）,常駐,各室,各室,各室,無し,各室,無し,各室,各室,各室,各室,各室,○,○毎日交換,○毎日交換,○,各室,各室,無し,各室,ホテルスタッフ／毎日,ホテルスタッフ／毎日,クリーニングサービスまたは近隣のコインランドリー,クリーニングサービスまたは近隣のコインランドリー,なし,なし,各室内,喫煙室・禁煙室有り,ご遠慮ください,有線LAN・Wi-Fi,５台有（３時間100円）,宿舎レストラン／（7：00～10：00）,バイキング,教習所内／11：50  ～ 14：30,日替り定食（食べ放題）,"教習所内／（17：50～20：20）
閑散期（17：20～19：30）",日替り定食（食べ放題）,ＪＲ新潟駅 車6分,徒歩 4分,徒歩 3分（黒川医院）,徒歩 1分,徒歩 7分
〇,ホテルシングル,コートホテル新潟(男・女),ホテルシングル,1名,男性・女性,新潟市中央区弁天2-3-35,025-247-0505,洋室,ベッド,22:00,スクールバス  20分（無料送迎）,常駐,各室,各室,各室,各室,各室,共用,各室,各室,各室,各室,各室,各室,各室,各室,○,各室,無し,無し,各室,ホテルスタッフ／毎日,ホテルスタッフ／毎日,有料（200円/回）,有料（100円/30分）,1個50円,無し,各室内,喫煙室・禁煙室有り,ご遠慮ください,有線LAN有・Wi-Fi,無し,宿舎レストラン／（7：00～10：00）,和洋バイキング,教習所内／11：50  ～ 14：30,日替り定食（食べ放題）,"教習所内／（17：50～20：20）
閑散期（17：20～19：30）",日替り定食（食べ放題）,新潟駅 徒歩6分,徒歩 2分,徒歩 3分（大森内科医院）,徒歩 1分,徒歩 6分
×,"※インターネットLAN環境のある場合、PCはご持参ください。
※満室時には他の宿舎をご利用いただく場合がございます。(途中移動を含む)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
