ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,レギュラー,サン氏家(男),敷地内,4名,"〇
(大浴場有）",〇,〇,税込200円/1回,税込100円/10分,Wi-Fi,徒歩10分,校内,校内,校内
〇,レギュラー,サンセット(女),敷地内,4～6名,〇,〇,〇,税込200円/1回,税込100円/10分,Wi-Fi,徒歩10分,校内,校内,校内
〇,"ツイン 
シングル",サン・プルミエ(女),送迎バス10分,1・2名,〇,〇,〇,税込200円/1回,税込100円/10分,Wi-Fi,徒歩5分,校内,校内,校内
〇,"ツイン 
シングル",グリーンリバー(男）,送迎バス10分,1・2名,〇,〇,〇,税込200円/1回,税込100円/10分,Wi-Fi,徒歩3分,校内,校内,校内
〇,シングル,メゾン・ド・桜野(女),送迎バス10分,1名,〇,〇,〇,税込200円/1回,税込100円/10分,Wi-Fi,徒歩3分,校内,校内,校内
×,"※女性レギュラーの［サンセット］はカプセルタイプです。
 ※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む）",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
