料金表ヘッダーテキスト。,"MT車：税込16,200円UP
自動二輪免許所持：税込21,600円引",,
料金表フッターテキスト。,,,
うれしい特典テキスト。,"喜連川温泉4湯めぐり（無料）教習所より4湯温泉めぐりの無料送迎（毎日運行）
リゾート地「那須高原」へご招待、観る・食べる・楽しむ!大好評のレクリエーションにご招待。（5/4～7/18・10/5～11/14入校のご希望の方）
初心者マークプレゼント",,
宿泊プラン,レギュラー,ツイン,シングル
"4/1～7/18
9/14～11/30",220000,227500,235000
7/19～7/25,230000,240000,250000
9/1～9/13,245000,255000,265000
"7/26～8/7
8/16～8/31",267000,277000,287000
8/8～8/15,283000,293000,303000
