ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"レギュラー
ツイン・シングル",Ruina（男・女）,敷地内,1・2～4名,〇,〇,〇,税込100円/1回,税込200円/30分,"Wi-Fi
有線LAN",徒歩 3分,校内,校内,校内
〇,レギュラー,サンホテル衣川荘 （男・女）,送迎バス 15分,2～5名,共用,〇,ー,税込200円/1回,税込100円/30分,ー,車5分 （注1）,宿舎,校内,宿舎
〇,レギュラー,いつくし園（男・女）,送迎バス 20分,2～6名,"共用
〇",〇,〇,無料,ー,"ー
(ロビーWi-Fi）",車5分 （注1）,宿舎,校内,宿舎
〇,"ホテルツイン
ホテルシングル",ホテルサンルート一関（男・女）(注2）,送迎バス 15分,"1・2名
",〇,〇,〇,税込200円/1回,税込100円/30分,"Wi-Fi
有線LAN",徒歩 2分,宿舎,校内,校内
〇,"ホテルツイン
ホテルシングル",＠ビジネスホテル （男・女）,送迎バス 15分,1・2名,〇,〇,〇,税込300円/1回,税込100円/30分,Wi-Fi,徒歩 1分,宿舎,校内,校内
×,"※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む） 
（注1）送迎途中で立ち寄ることもできます。
（注2）エキストラベッドのツインルームです。",,,,,,,,,,,,,
