ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,宿泊プラン,部屋定員,性別,住所,電話番号,部屋タイプ,寝具,門限,学校から所要時間,管理人,バス,トイレ,テレビ,DVD/ビデオ,冷蔵庫,レンジ,ポット,ドライヤー,ボディソープ,シャンプー,歯磨きセット,ひげそり,バスタオル,フェイスタオル,寝間着,スリッパ,クローゼット,金庫,エアコン,部屋掃除,シーツ交換,洗濯機,乾燥機,洗濯洗剤,ピンチハンガー,洗濯干しスペース,タバコ,飲酒,インターネット,貸し自転車,朝食場所／時間,朝食内容,昼食場所／時間,昼食内容,夕食場所／時間,夕食内容,最寄り駅,銀行ATM,病院,コンビニ,郵便局
〇,レギュラー,K－ファースト(男),レギュラー,2・4名,男性,掛川市大池655,0537-22-7251,洋室,2段ベッド,22:00,敷地内,常駐,"　　　　共用風呂（18：30～21：30）
　　　　シャワールーム　　　　　　　
　　　　（清掃時間を除く21：30まで）",共用,○,×,○,×,×,ご持参ください,ご持参ください,ご持参ください,ご持参ください,ご持参ください,ご持参ください,ご持参ください,ご持参ください,"館内は土足のまま入室できます
各室内で使用のためにご持参をお勧めします",ロッカー有（鍵は付いていません）,"×（館内に小型のコインロッカー有
　　　　　　　　　　　　　保証金￥100）",○,各自,なし（各自洗濯してお使いください）,1回200円（6台あります）,30分100円（6台あります）,ご持参ください,×,室内,×（所定の喫煙場所をご利用下さい。）,×ご遠慮下さい。,無線LAN　PCはご持参ください。,210円/1日,学校食堂（7：00～8：20）,日替わりモーニング,学校食堂（12：00～13：30）,和洋バイキング,学校食堂（17：30～20：30）,和洋バイキング,ＪＲ掛川駅　車10分,徒歩1分,車5分,徒歩5分,車5分
〇,"ツイン
シングル",K－グランデ(男・女),レギュラー（女性）・ツイン・シングル,1・2名,男・女,掛川市大池655,0537-22-7251,洋室,ベッド（女性レギュラーは2段ベッド）,22:00,敷地内,常駐,各室,各室,○,×,○,×,×,ご持参ください,ご持参ください,ご持参ください,ご持参ください,ご持参ください,ご持参ください,ご持参ください,ご持参ください,"館内は土足のまま入室できます
各室内で使用のためにご持参をお勧めします",×,×,○,各自,なし（各自洗濯してお使いください）,1回200円（3台あります）,40分100円（3台あります）,自動投入,×,室内,×（所定の喫煙場所をご利用下さい。）,×ご遠慮下さい。,無線LAN　PCはご持参ください。,210円/1日,学校食堂（7：00～8：20）,日替わりモーニング,学校食堂（12：00～13：30）,和洋バイキング,学校食堂（17：30～20：30）,和洋バイキング,ＪＲ掛川駅　車10分,徒歩1分,車5分,徒歩5分,車5分
〇,"ホテルツイン
ホテルシングル",パジェットイン掛川(男・女),ホテルツイン・ホテルシングル,1・2名,男・女,掛川市矢崎町4-1,0537-61-8855　,洋室,ベッド,なし,車15分（送迎あり）,常駐,各室,各室,各室,-,各室,-,各室,○,○,○,○,○,○,○,○,○,○,-,"○
加湿器もございます",スタッフ（随時）,スタッフ（随時）,有料200円（2台）,有料：100円/30分（2台）,自動投入,×,室内,○,×ご遠慮下さい。,"無線LAN無料（PCご持参ください）
ロビーに1台無料PCあります",200円,ホテル内レストラン（6：30～9：30）,和洋食バイキング,学校食堂（12：00～13：30）,和洋バイキング,ホテル内レストラン,日替わり定食,掛川駅　徒歩15分,車10分,-,徒歩3分,車10分
〇,"ホテルツイン
ホテルシングル",スマイルホテル掛川(男・女),ホテルツイン・ホテルシングル,1・2名,男・女,掛川市南1-11-13,0537-61-1188　,洋室,ベッド,なし,車10分（送迎あり）,常駐,各室,各室,各室,-,各室,-,各室,○,○,○,○,○,○,○,○,○,○,-,○,スタッフ（随時）,スタッフ（随時）,有料200円,有料：100円/10分,自動投入,×,室内,○,×ご遠慮下さい。,LAN無料（PCご持参ください）,-,ホテル朝食コーナー（6：30～9：00）,パン・コーヒー等,学校食堂（12：00～13：30）,和洋バイキング,学校食堂またはホテル,日替わり弁当,掛川駅　徒歩2分,徒歩15分,-,徒歩3分,徒歩15分
×,"※インターネットLAN環境のある場合、PCはご持参ください。
※満室時には他の宿舎をご利用いただく場合がございます。(途中移動を含む)
※レギュラー(女性)は、K-グランデ(相部屋)又は、他の宿舎を使用します。宿泊先の指定はできません。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
