ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,レギュラー,グリーンハイツ5号館 （女）,徒歩5分,4～5名,〇,〇,〇,無料,ー,ー,徒歩10分,校内,校内,校内
〇,レギュラー,校内寮本館（男）,敷地内,4～8名,"共用
〇",〇,ー,無料(注1),税込100円/30分(注1),有線LAN,徒歩5分,校内,校内,校内
〇,ツイン,校内寮本館（男）,敷地内,2名,"共用
〇",〇,ー,無料(注1),税込100円/30分(注1),有線LAN,徒歩5分,校内,校内,校内
〇,シングル,校内寮別館（男）,敷地内,1名,〇,〇,〇,無料(注1),税込100円/30分(注1),有線LAN,徒歩5分,校内,校内,校内
〇,"ツイン 
シングル",シティホテル友部 （女）,敷地内,1・2名,〇,〇,〇,税込500円/1回（洗剤付)（洗濯～乾燥まで）,税込500円/1回（洗剤付)（洗濯～乾燥まで）,Wi-Fi,徒歩5分,校内,校内,校内
×,（注1）学校内にてご利用ください。 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
