料金表ヘッダーテキスト。,"MT車：税込21,600円UP",
料金表フッターテキスト。,（※1）シングルは7/20～9/20の期間ご利用いただけません。,
うれしい特典テキスト。,"ジンギスカンパーティー開催（月2回）
卒業記念写真プレゼント
初心者マークプレゼント",
宿泊プラン,レギュラー,シングル
"4/1～7/30
9/8～11/30",230000,260000（※1）
"7/31～8/2
9/1～9/7",240000,-
8/19～8/30,260000,-
8/3～8/18,275000,-
