ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,レギュラー,旅館 平澤屋（女） ,送迎バス 20分,2～4名,共用,〇,ー,無料,税込300円/1回,Wi-Fi,徒歩10分,宿舎,校内,宿舎
〇,レギュラー,ユースホステル（女）,送迎バス 20分,2～6名,共用,〇,ー,税込200円/1回,税込100円/30分,Wi-Fi,車で10分,宿舎,校内,宿舎
〇,レギュラー,ホテルきくゆう（男）,送迎バス 15分,2～5名,共用,〇,〇,無料,ー,Wi-Fi,徒歩10分,宿舎,校内,宿舎
〇,レギュラー,徳田屋旅館(男),送迎バス 15分,2～4名,共用,〇,ー,無料,ー,Wi-Fi,徒歩15分,宿舎,校内,宿舎
〇,レギュラー・シングル, ホテル鍋城（男・女),送迎バス 15分,1・2～4名,各室,〇,〇,無料,ー,有線LAN,徒歩15分,宿舎,校内,宿舎
×,"他にご利用いただく宿舎
?レギュラー 民宿とおの（男）・くら乃屋（女）
・たかむろ水光園（男）・増田旅館（男）
※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む）",,,,,,,,,,,,,
