ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,ツインA・自炊ツイン ,スカイコート（男・女）,送迎バス 14分,2名 ,〇,〇,〇,無料,ー,Wi-Fi,徒歩2分,近隣(自炊除く),姉妹港食堂,近隣(自炊除く)
〇,グループユース・トリプル・ツインB ,舞鶴荘（男・女）(注1）,送迎バス 14分,2・3・4～10名,"共用
〇",〇,〇,近隣のコインランドリー(徒歩4分),近隣のコインランドリー(徒歩4分),"ー
(ロビーWi-Fi)",徒歩6分,宿舎,姉妹港食堂,宿舎
〇,ホテルシングルA ,ホテルセンチュリー山形（男・女）,送迎バス20分,1名,〇,〇,〇,税込100円/1回,税込100円/30分,Wi-Fi,徒歩1分,宿舎,姉妹港食堂,宿舎
〇,"ホテルトリプルB 
ホテルツインB 
ホテルシングルB",グリーントーホク （男・女）,送迎バス20分,1・2・3名,〇,〇,〇,税込200円/60分,ー,Wi-Fi,徒歩6分,宿舎,姉妹港食堂,宿舎
〇,"ホテルトリプルB 
ホテルツインB 
ホテルシングルB",ホテルさくらんぼ （男・女） ,送迎バス 21分 ,1・2・3名,〇,〇,〇,税込300円/1回,税込100円/30分,Wi-Fi,徒歩4分,宿舎,姉妹港食堂,宿舎
〇,"ホテルトリプルC 
ホテルツインC 
ホテルシングルC",山形七日町 ワシントンホテル （男・女）,送迎バス 18分,1・2・3名,〇（大浴場あり）,〇,〇,無料,無料,"Wi-Fi
有線LAN",敷地内,ー(注2),姉妹港食堂,宿舎
〇,ホテルツインD・ホテルシングルD ,ホテルエール（男・女）,送迎バス20分,1・2名,〇,〇,〇,無料,無料,Wi-Fi,徒歩3分,ー,姉妹港食堂,ー
×,"※満室時には他の宿舎を
ご利用いただく場合がございます。
（途中移動を含む）
（注1）舞鶴荘は7/25～9/30ご入校でご利用いただけます。 
（注2）朝食はセットされておりません。朝食をご希望の方は学校窓口にて承ります（税込10,800円）",,,,,,,,,,,,,
