ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,レギュラー,パインツリー さくらんぼ東根(男・女) ,送迎バス 15分,3～4名,共用,〇,〇,無料,無料,Wi-Fi,徒歩8分,宿舎,校内,宿舎
〇,レギュラー,東根グランドホテル （男・女）(注1),送迎バス 15分,4~7名,共用,〇,〇,近隣のコインランドリー(徒歩5分),近隣のコインランドリー(徒歩5分),"ー
(ロビーWi-Fi)",徒歩4分,宿舎,校内,宿舎
〇,"ホテルツイン 
ホテルシングル",村山西口ホテル（男・女）,"送迎バス 10分
",1・2名,〇,〇,〇,無料,無料,"Wi-Fi
有線LAN",徒歩3分,宿舎,校内,宿舎
〇,"ホテルツイン 
ホテルシングル",天童セントラルホテル（男・女),送迎バス30分,1・2名,〇,〇,〇,税込200円/1回,税込100円/15分,Wi-Fi,徒歩1分,宿舎,校内,宿舎
〇,"ホテルトリプル
ホテルツイン 
ホテルシングル",ホテルビューくろだ （男・女）,送迎バス30分,1・2・3名,"〇
(大浴場有)",〇,〇,税込200円/1回,税込100円/30分,Wi-Fi,徒歩5分,宿舎,校内,宿舎
〇,"自炊ツイン 
自炊トリプル",レオパレス21 （男・女）,送迎バス15～20分,2・3名,〇,〇,〇,無料,"ー
(浴室乾燥有)",Wi-Fi,徒歩5分,ー,校内,ー
×,"他にご利用いただく宿舎? トリプルツイン　プリンス東根＊(男)イーストコート＊(男・女)　自炊トリプル・ツイン　ジュンベリー＊(女)
※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む） （注1）7/25～9/17のご利用となります。 ＊4/1～7/10・10/16～11/30のご利用となります。 
",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
