ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"レギュラー
ツイン・シングル",ル・カルフール （男・女）,敷地内,1・2・4名,〇,〇,〇,税込200円/1回,税込200円/1回,"Wi-Fi
有線LAN",徒歩5分,校内,校内,校内
〇,"ツイン 
シングル",アパ・ヴィラホテル （燕三条駅前） （男・女）（注1）,送迎バス25分,1・2名,〇,〇,〇,専用宿舎ル・カルフールのランドリーをご利用ください,専用宿舎ル・カルフールのランドリーをご利用ください,"Wi-Fi
有線LAN",徒歩2分,宿舎,校内,宿舎（注2）
〇,"ツイン 
シングル",燕三条 ワシントンホテル （男・女）(注1),送迎バス25分,1・2名,〇,〇,〇,専用宿舎ル・カルフールのランドリーをご利用ください,専用宿舎ル・カルフールのランドリーをご利用ください,Wi-Fi,徒歩4分,宿舎,校内,宿舎
〇,"ツイン 
シングル",ホテルニューグリーン 燕三条 （男・女）（注1）,送迎バス25分,1・2名,〇,〇,〇,専用宿舎ル・カルフールのランドリーをご利用ください,専用宿舎ル・カルフールのランドリーをご利用ください,"Wi-Fi
有線LAN",徒歩2分,宿舎,校内,宿舎
×,"（注1） 専用宿舎満室時のみ使用 
※上記宿舎が満室の場合他の宿舎をご利用いただく場合があります。（途中移動を含む）
（注2）各室内でお召しあがりください。",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
