料金表ヘッダーテキスト。,,,,,,,,
料金表フッターテキスト。,,,,,,,,
うれしい特典テキスト。,お得情報はございません,,,,,,,
宿泊プラン,"チャレンジコース
(ツイン)
(ホテルツイン)","チャレンジコース
（シングル）
（ホテルシングル）","安心コース
（ツイン）
（ホテルツイン）","安心コース
（シングル）
（ホテルシングル）",,,,
"10/1～1/20
3/21～5/31",222000,225000,232000,235000,-,-,-,-
"1/21～1/31
3/11～3/20",262000,265000,272000,275000,-,-,-,-
2/1～3/10,294000,297000,304000,307000,-,-,-,-
,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-
