ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,学校から,部屋人数,バス・トイレ,テレビ,冷蔵庫,洗濯機,乾燥機,ネット環境,コンビニまで,朝食場所,昼食場所,夕食場所
〇,"ツイン
シングル",ぽかぽか温泉ホテル(男・女),送迎バス5分,1・2名,"共用(温泉大浴場)
〇",〇,〇,税込500円/1回,税込100円/10分,Wi-Fi,徒歩1分,宿舎,税込450円/1食支給,宿舎
〇,"ホテルツイン 
ホテルシングル",ロイヤルホテル大館(男・女),送迎バス5分,1・2名,"〇
(大浴場有)",〇,〇,税込200円/1回,税込200円/1回,Wi-Fi,徒歩2分,宿舎,税込450円/1食支給,宿舎
〇,"ホテルツイン 
ホテルシングル",アネックス ロイヤルホテル(男・女),送迎バス5分,1・2名,"〇
(大浴場有)",〇,〇,税込200円/1回,税込200円/1回,Wi-Fi,徒歩3分,宿舎,税込450円/1食支給,宿舎
〇,"ホテルツイン 
ホテルシングル",ホテルクラウンパレス秋北(男・女),送迎バス8分,1・2名,"〇
(大浴場有)",〇,〇,学校近くのコインランドリー(徒歩1分),学校近くのコインランドリー(徒歩1分),Wi-Fi,徒歩2分,宿舎,税込450円/1食支給,宿舎
×,"他にご利用いただく宿舎?かすみ荘 
※満室時には他の宿舎をご利用いただく場合がございます。（途中移動を含む）",,,,,,,,,,,,,
