ホテル情報＝○　注釈＝×,宿泊情報,宿泊名,宿泊プラン,部屋定員,性別,住所,電話番号,部屋タイプ,寝具,門限,学校から所要時間,管理人（ホテルスタッフ）,バス,トイレ,テレビ,DVD/ビデオ,冷蔵庫,レンジ,ポット,ドライヤー,ボディソープ,シャンプー,歯磨きセット,ヒゲソリ,バスタオル,フェイスタオル,寝間着,スリッパ,クローゼット,金庫,エアコン,部屋掃除,シーツ交換,洗濯機,乾燥機,洗濯洗剤,ハンガー,洗濯干しスペース,タバコ,飲酒,インターネット,貸し自転車,朝食場所／時間,朝食内容,朝食場所／時間,朝食内容,朝食場所／時間,朝食内容,最寄り駅,銀行ATM,病院,コンビニ,ファストフード
〇,レギュラー,ペンションなかくま(男・女),レギュラー,3～6名,男・女,熊本県球磨郡錦町西3280,0966-38-0366,洋室,ベッド,21:00,スクールバス10分,常駐,共同利用（女性ｼﾝｸﾞﾙﾌﾟﾗﾝのみ室内にあり）,共同利用（女性ｼﾝｸﾞﾙﾌﾟﾗﾝのみ室内にあり）,各室,-,館内共同利用,○管内共同利用,○管内共同利用,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,○（館内に有ります）,×,×,○,管理人,毎日,○（無料）,○（100円/60分）,○無料,○,敷地内,指定場所（ロビー）のみ可,可,○（1階は有線ＬＡＮ・無線ＬＡＮ完備/2階は無線ＬＡＮのみ）ＰＣ・ＬＡＮｶｰﾄﾞはご持参下さい。,○（4台/無料）,　　宿舎内食堂/　　7：30　　　～　8：30　　　　　　　　,手作り日替わり定食,　　宿舎内食堂/　12：00　　～　13：30　　　　　　　　,手作り日替わり定食,　　宿舎内食堂/　18：00　　　～　20：30　　　　　　　,手作り日替わり定食,くま川鉄道　あさぎり駅（徒歩　30分）,郵便局（徒歩　20分）　・　肥後銀行（徒歩　30分）,人吉総合病院（車　10分）,エブリワン（徒歩　10分）,イオン内（車　10分）
〇,ツイン,ペンションなかくま(男・女),ツイン,2名,男・女,熊本県球磨郡錦町西3280,0966-38-0366,洋室,ベッド,21:00,スクールバス10分,常駐,共同利用（女性ｼﾝｸﾞﾙﾌﾟﾗﾝのみ室内にあり）,共同利用（女性ｼﾝｸﾞﾙﾌﾟﾗﾝのみ室内にあり）,各室,-,館内共同利用,○管内共同利用,○管内共同利用,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,○（館内に有ります）,×,×,○,管理人,毎日,○（無料）,○（100円/60分）,○無料,○,敷地内,指定場所（ロビー）のみ可,可,○（1階は有線ＬＡＮ・無線ＬＡＮ完備/2階は無線ＬＡＮのみ）ＰＣ・ＬＡＮｶｰﾄﾞはご持参下さい。,○（4台/無料）,　　宿舎内食堂/　　7：30　　　～　8：30　　　　　　　　,手作り日替わり定食,　　宿舎内食堂/　12：00　　～　13：30　　　　　　　　,手作り日替わり定食,　　宿舎内食堂/　18：00　　　～　20：30　　　　　　　,手作り日替わり定食,くま川鉄道　あさぎり駅（徒歩　30分）,郵便局（徒歩　20分）　・　肥後銀行（徒歩　30分）,人吉総合病院（車　10分）,エブリワン（徒歩　10分）,イオン内（車　10分）
〇,シングル,ペンションなかくま(男),シングル,1名,男,熊本県球磨郡錦町西3280,0966-38-0366,洋室,ベッド,21:00,スクールバス10分,常駐,共同利用（女性ｼﾝｸﾞﾙﾌﾟﾗﾝのみ室内にあり）,共同利用（女性ｼﾝｸﾞﾙﾌﾟﾗﾝのみ室内にあり）,各室,-,館内共同利用,○管内共同利用,○管内共同利用,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,○（館内に有ります）,×,×,○,管理人,毎日,○（無料）,○（100円/60分）,○無料,○,敷地内,指定場所（ロビー）のみ可,可,○（1階は有線ＬＡＮ・無線ＬＡＮ完備/2階は無線ＬＡＮのみ）ＰＣ・ＬＡＮｶｰﾄﾞはご持参下さい。,○（4台/無料）,　　宿舎内食堂/　　7：30　　　～　8：30　　　　　　　　,手作り日替わり定食,　　宿舎内食堂/　12：00　　～　13：30　　　　　　　　,手作り日替わり定食,　　宿舎内食堂/　18：00　　　～　20：30　　　　　　　,手作り日替わり定食,くま川鉄道　あさぎり駅（徒歩　30分）,郵便局（徒歩　20分）　・　肥後銀行（徒歩　30分）,人吉総合病院（車　10分）,エブリワン（徒歩　10分）,イオン内（車　10分）
〇,シングル,ペンションなかくま(女),送迎バス10分,1名,女,熊本県球磨郡錦町西3280,0966-38-0366,洋室,ベッド,21:00,スクールバス10分,常駐,共同利用（女性ｼﾝｸﾞﾙﾌﾟﾗﾝのみ室内にあり）,共同利用（女性ｼﾝｸﾞﾙﾌﾟﾗﾝのみ室内にあり）,各室,-,館内共同利用,○管内共同利用,○管内共同利用,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,×（ご持参下さい。）,○（館内に有ります）,×,×,○,管理人,毎日,○（無料）,○（100円/60分）,○無料,○,敷地内,指定場所（ロビー）のみ可,可,○（1階は有線ＬＡＮ・無線ＬＡＮ完備/2階は無線ＬＡＮのみ）ＰＣ・ＬＡＮｶｰﾄﾞはご持参下さい。,○（4台/無料）,　　宿舎内食堂/　　7：30　　　～　8：30　　　　　　　　,手作り日替わり定食,　　宿舎内食堂/　12：00　　～　13：30　　　　　　　　,手作り日替わり定食,　　宿舎内食堂/　18：00　　　～　20：30　　　　　　　,手作り日替わり定食,くま川鉄道　あさぎり駅（徒歩　30分）,郵便局（徒歩　20分）　・　肥後銀行（徒歩　30分）,人吉総合病院（車　10分）,エブリワン（徒歩　10分）,イオン内（車　10分）
×,"※インターネットLAN環境のある場合、PCはご持参ください。
※満室時には他の宿舎をご利用いただく場合がございます。(途中移動を含む)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
